,Close,High,Low,Open,Volume
2018-01-02,237.90911865234375,237.94453331190397,236.69642994374126,237.0859101584929,86655700.0
2018-01-03,239.41397094726562,239.56446301538605,238.07734421407596,238.07734421407596,90070400.0
2018-01-04,240.42308044433594,240.9099443435085,239.47596092101074,240.06018139193154,80636400.0
2018-01-05,242.02529907226562,242.14920990348782,240.72408677029455,241.2197841221426,83524000.0
2018-01-06,242.02529907226562,242.14920990348782,240.72408677029455,241.2197841221426,0.0
2018-01-07,242.02529907226562,242.14920990348782,240.72408677029455,241.2197841221426,0.0
2018-01-08,242.4678497314453,242.62717520941226,241.63578066187287,241.92787737147896,57319200.0
2018-01-09,243.0166778564453,243.64514641967594,242.60947669065388,242.8927400198624,57254000.0
2018-01-10,242.6448211669922,242.91039059135448,241.5826245099532,242.2553409553702,69574300.0
2018-01-11,244.41526794433594,244.41526794433594,243.03439286097088,243.20257878900077,62361500.0
2018-01-12,246.008544921875,246.17670379600776,244.37979453521476,244.68077865980706,90816100.0
2018-01-13,246.008544921875,246.17670379600776,244.37979453521476,244.68077865980706,0.0
2018-01-14,246.008544921875,246.17670379600776,244.37979453521476,244.68077865980706,0.0
2018-01-15,246.008544921875,246.17670379600776,244.37979453521476,244.68077865980706,0.0
2018-01-16,245.1676483154297,247.9293981882145,244.4683504266549,247.2743753888553,106555100.0
2018-01-17,247.50445556640625,247.89393580821957,245.16760112899854,246.10588707151092,113258800.0
2018-01-18,247.0884552001953,247.81428020492635,246.5927309580643,247.3894123023468,100728000.0
2018-01-19,248.21255493164062,248.21255493164062,247.088389553438,247.67258276427566,140920100.0
2018-01-20,248.21255493164062,248.21255493164062,247.088389553438,247.67258276427566,0.0
2018-01-21,248.21255493164062,248.21255493164062,247.088389553438,247.67258276427566,0.0
2018-01-22,250.23085021972656,250.23085021972656,247.94707695432132,248.00021246108778,91322400.0
2018-01-23,250.7620086669922,251.05410543425725,249.94763326305807,250.2751447035761,97084700.0
2018-01-24,250.66456604003906,252.01005317199684,249.47843139345346,251.40811192236998,134816100.0
2018-01-25,250.770751953125,251.62937512994256,249.97409767885958,251.5320185803358,84587300.0
2018-01-26,253.6741485595703,253.71842364134463,251.35498790033435,251.61169693151265,107743100.0
2018-01-27,253.6741485595703,253.71842364134463,251.35498790033435,251.61169693151265,0.0
2018-01-28,253.6741485595703,253.71842364134463,251.35498790033435,251.61169693151265,0.0
2018-01-29,251.9922637939453,253.54132404751095,251.8329383653821,253.09873540363506,90118300.0
2018-01-30,249.40757751464844,252.0453887156423,248.92957418430285,250.15112324325892,131796400.0
2018-01-31,249.53160095214844,250.77084439264763,248.45168302253893,250.26631360816364,108364800.0
2018-02-01,249.24819946289062,250.55827152453875,248.45154533644848,248.79677743220415,90102500.0
2018-02-02,243.8220977783203,248.0532441863662,243.78668312259475,247.92044598076222,173174800.0
2018-02-03,243.8220977783203,248.0532441863662,243.78668312259475,247.92044598076222,0.0
2018-02-04,243.8220977783203,248.0532441863662,243.78668312259475,247.92044598076222,0.0
2018-02-05,233.62493896484375,244.17626881288984,233.07613312454137,242.05184778026043,294681800.0
2018-02-06,238.22776794433594,238.73232548194565,228.99537530974635,230.09298650303026,355026800.0
2018-02-07,236.9354705810547,241.08692815582765,236.85578083511615,237.6701560116616,167376100.0
2018-02-08,228.0482940673828,237.37807290746164,228.01287940199202,237.23644125937324,246449500.0
2018-02-09,231.47389221191406,233.3416035764888,223.87906842981243,230.85425722087248,283565300.0
2018-02-10,231.47389221191406,233.3416035764888,223.87906842981243,230.85425722087248,0.0
2018-02-11,231.47389221191406,233.3416035764888,223.87906842981243,230.85425722087248,0.0
2018-02-12,234.87298583984375,236.35124409558412,231.615539244688,233.53635922043264,143736000.0
2018-02-13,235.457275390625,236.00608125922824,233.07614514382934,233.66036568528838,81223600.0
2018-02-14,238.635009765625,238.9979357986399,233.95241301527872,233.9612734349906,120735700.0
2018-02-15,241.68003845214844,241.6888988724391,237.90917324112442,240.38768672310522,111200300.0
2018-02-16,241.7507781982422,243.70703963275955,241.00723245015345,241.05150752666998,160420100.0
2018-02-17,241.7507781982422,243.70703963275955,241.00723245015345,241.05150752666998,0.0
2018-02-18,241.7507781982422,243.70703963275955,241.00723245015345,241.05150752666998,0.0
2018-02-19,241.7507781982422,243.70703963275955,241.00723245015345,241.05150752666998,0.0
2018-02-20,240.2371368408203,242.24650679301067,239.44048259716516,240.79480291541992,86369700.0
2018-02-21,239.0421142578125,243.17590405169994,238.94475772323253,240.67969763261075,98883700.0
2018-02-22,239.35206604003906,241.6977817517038,238.67934929716367,239.9717012907348,110511300.0
2018-02-23,243.16714477539062,243.16714477539062,240.10443766880846,240.58244116379396,92766400.0
2018-02-24,243.16714477539062,243.16714477539062,240.10443766880846,240.58244116379396,0.0
2018-02-25,243.16714477539062,243.16714477539062,240.10443766880846,240.58244116379396,0.0
2018-02-26,245.99078369140625,246.0881672483072,243.6539295008845,244.2469832063501,86491400.0
2018-02-27,242.9192352294922,246.89370025277262,242.85726632626165,246.17668168326605,99099200.0
2018-02-28,240.45848083496094,244.47719455562333,240.1398298770944,244.0257453518368,121907800.0
2018-03-01,236.96200561523438,241.803927172463,235.45719319917455,240.24600627239835,176855100.0
2018-03-02,238.18360900878906,238.7501357160527,234.4127702908012,235.28022716776337,139083200.0
2018-03-03,238.18360900878906,238.7501357160527,234.4127702908012,235.28022716776337,0.0
2018-03-04,238.18360900878906,238.7501357160527,234.4127702908012,235.28022716776337,0.0
2018-03-05,240.93646240234375,241.55609744877376,236.8823343834178,236.98857837319935,97307400.0
2018-03-06,241.5471954345703,241.99864451961363,240.04238316007158,241.91895478763198,79213200.0
2018-03-07,241.45880126953125,241.81286698986435,239.17505441192247,239.3697946101281,87063500.0
2018-03-08,242.6271514892578,242.75106228884854,241.14005981333247,242.14028766954476,66901200.0
2018-03-09,246.84945678710938,246.84945678710938,243.72478114474626,244.04345910683665,113625300.0
2018-03-10,246.84945678710938,246.84945678710938,243.72478114474626,244.04345910683665,0.0
2018-03-11,246.84945678710938,246.84945678710938,243.72478114474626,244.04345910683665,0.0
2018-03-12,246.53964233398438,247.77005209910882,246.15016204959065,247.1415836002588,71924800.0
2018-03-13,244.9462890625,248.21259580096068,244.33551450077354,247.70803820414832,91968900.0
2018-03-14,243.68930053710938,246.09698388009483,243.13166152792888,245.911104210368,105895100.0
2018-03-15,243.42388916015625,244.84901241749526,242.91933134302496,244.20284992762586,83433000.0
2018-03-16,243.68785095214844,244.74543346368802,243.63452974330383,243.9544569963715,100343700.0
2018-03-17,243.68785095214844,244.74543346368802,243.63452974330383,243.9544569963715,0.0
2018-03-18,243.68785095214844,244.74543346368802,243.63452974330383,243.9544569963715,0.0
2018-03-19,240.39051818847656,243.86542609778178,238.72861160612536,242.9322784074564,109208400.0
2018-03-20,240.79946899414062,241.4393505361572,240.1151350362649,240.79057308663496,59757300.0
2018-03-21,240.3373260498047,242.86129581767798,240.12404123388228,240.75502689543302,78709600.0
2018-03-22,234.3295135498047,238.95085506648576,234.05398457579776,238.09768891476452,148785900.0
2018-03-23,229.33482360839844,235.1026509084258,229.13930357921686,234.7738279324517,183534800.0
2018-03-24,229.33482360839844,235.1026509084258,229.13930357921686,234.7738279324517,0.0
2018-03-25,229.33482360839844,235.1026509084258,229.13930357921686,234.7738279324517,0.0
2018-03-26,235.60922241210938,235.89362013754916,230.54352014580505,232.9608465687235,141956100.0
2018-03-27,231.60116577148438,237.08457022779396,230.03700497355243,236.55135824819655,129941400.0
2018-03-28,230.91677856445312,233.41411399361385,229.80587532725002,231.73441528056546,146452300.0
2018-03-29,233.86741638183594,235.74263572930326,230.92574586991105,232.0633100516675,111601600.0
2018-03-30,233.86741638183594,235.74263572930326,230.92574586991105,232.0633100516675,0.0
2018-03-31,233.86741638183594,235.74263572930326,230.92574586991105,232.0633100516675,0.0
2018-04-01,233.86741638183594,235.74263572930326,230.92574586991105,232.0633100516675,0.0
2018-04-02,228.8194122314453,233.8495854751294,226.33098620312416,233.33411117150956,186286300.0
2018-04-03,231.75221252441406,232.23213038436833,228.25953876520595,230.0636447909927,119956900.0
2018-04-04,234.2317352294922,234.94270248797312,228.0462332913881,228.17953626214546,123715300.0
2018-04-05,236.0802764892578,236.9689990591677,234.90715618777824,236.0002675909047,82652600.0
