2018-01-02,237.0859101584929,237.94453331190397,236.69642994374126,86655700.0,SPY
2018-01-03,238.07734421407596,239.56446301538605,238.07734421407596,90070400.0,SPY
2018-01-04,240.06018139193154,240.9099443435085,239.47596092101074,80636400.0,SPY
2018-01-05,241.2197841221426,242.14920990348782,240.72408677029455,83524000.0,SPY
2018-01-06,241.2197841221426,242.14920990348782,240.72408677029455,0.0,SPY
2018-01-07,241.2197841221426,242.14920990348782,240.72408677029455,0.0,SPY
2018-01-08,241.92787737147896,242.62717520941226,241.63578066187287,57319200.0,SPY
2018-01-09,242.8927400198624,243.64514641967594,242.60947669065388,57254000.0,SPY
2018-01-10,242.2553409553702,242.91039059135448,241.5826245099532,69574300.0,SPY
2018-01-11,243.20257878900077,244.41526794433594,243.03439286097088,62361500.0,SPY
2018-01-12,244.68077865980706,246.17670379600776,244.37979453521476,90816100.0,SPY
2018-01-13,244.68077865980706,246.17670379600776,244.37979453521476,0.0,SPY
2018-01-14,244.68077865980706,246.17670379600776,244.37979453521476,0.0,SPY
2018-01-15,244.68077865980706,246.17670379600776,244.37979453521476,0.0,SPY
2018-01-16,247.2743753888553,247.9293981882145,244.4683504266549,106555100.0,SPY
2018-01-17,246.10588707151092,247.89393580821957,245.16760112899854,113258800.0,SPY
2018-01-18,247.3894123023468,247.81428020492635,246.5927309580643,100728000.0,SPY
2018-01-19,247.67258276427566,248.21255493164062,247.088389553438,140920100.0,SPY
2018-01-20,247.67258276427566,248.21255493164062,247.088389553438,0.0,SPY
2018-01-21,247.67258276427566,248.21255493164062,247.088389553438,0.0,SPY
2018-01-22,248.00021246108778,250.23085021972656,247.94707695432132,91322400.0,SPY
2018-01-23,250.2751447035761,251.05410543425725,249.94763326305807,97084700.0,SPY
2018-01-24,251.40811192236998,252.01005317199684,249.47843139345346,134816100.0,SPY
2018-01-25,251.5320185803358,251.62937512994256,249.97409767885958,84587300.0,SPY
2018-01-26,251.61169693151265,253.71842364134463,251.35498790033435,107743100.0,SPY
2018-01-27,251.61169693151265,253.71842364134463,251.35498790033435,0.0,SPY
2018-01-28,251.61169693151265,253.71842364134463,251.35498790033435,0.0,SPY
2018-01-29,253.09873540363506,253.54132404751095,251.8329383653821,90118300.0,SPY
2018-01-30,250.15112324325892,252.0453887156423,248.92957418430285,131796400.0,SPY
2018-01-31,250.26631360816364,250.77084439264763,248.45168302253893,108364800.0,SPY
2018-02-01,248.79677743220415,250.55827152453875,248.45154533644848,90102500.0,SPY
2018-02-02,247.92044598076222,248.0532441863662,243.78668312259475,173174800.0,SPY
2018-02-03,247.92044598076222,248.0532441863662,243.78668312259475,0.0,SPY
2018-02-04,247.92044598076222,248.0532441863662,243.78668312259475,0.0,SPY
2018-02-05,242.05184778026043,244.17626881288984,233.07613312454137,294681800.0,SPY
2018-02-06,230.09298650303026,238.73232548194565,228.99537530974635,355026800.0,SPY
2018-02-07,237.6701560116616,241.08692815582765,236.85578083511615,167376100.0,SPY
2018-02-08,237.23644125937324,237.37807290746164,228.01287940199202,246449500.0,SPY
2018-02-09,230.85425722087248,233.3416035764888,223.87906842981243,283565300.0,SPY
2018-02-10,230.85425722087248,233.3416035764888,223.87906842981243,0.0,SPY
2018-02-11,230.85425722087248,233.3416035764888,223.87906842981243,0.0,SPY
2018-02-12,233.53635922043264,236.35124409558412,231.615539244688,143736000.0,SPY
2018-02-13,233.66036568528838,236.00608125922824,233.07614514382934,81223600.0,SPY
2018-02-14,233.9612734349906,238.9979357986399,233.95241301527872,120735700.0,SPY
2018-02-15,240.38768672310522,241.6888988724391,237.90917324112442,111200300.0,SPY
2018-02-16,241.05150752666998,243.70703963275955,241.00723245015345,160420100.0,SPY
2018-02-17,241.05150752666998,243.70703963275955,241.00723245015345,0.0,SPY
2018-02-18,241.05150752666998,243.70703963275955,241.00723245015345,0.0,SPY
2018-02-19,241.05150752666998,243.70703963275955,241.00723245015345,0.0,SPY
2018-02-20,240.79480291541992,242.24650679301067,239.44048259716516,86369700.0,SPY
2018-02-21,240.67969763261075,243.17590405169994,238.94475772323253,98883700.0,SPY
2018-02-22,239.9717012907348,241.6977817517038,238.67934929716367,110511300.0,SPY
2018-02-23,240.58244116379396,243.16714477539062,240.10443766880846,92766400.0,SPY
2018-02-24,240.58244116379396,243.16714477539062,240.10443766880846,0.0,SPY
2018-02-25,240.58244116379396,243.16714477539062,240.10443766880846,0.0,SPY
2018-02-26,244.2469832063501,246.0881672483072,243.6539295008845,86491400.0,SPY
2018-02-27,246.17668168326605,246.89370025277262,242.85726632626165,99099200.0,SPY
2018-02-28,244.0257453518368,244.47719455562333,240.1398298770944,121907800.0,SPY
2018-03-01,240.24600627239835,241.803927172463,235.45719319917455,176855100.0,SPY
2018-03-02,235.28022716776337,238.7501357160527,234.4127702908012,139083200.0,SPY
2018-03-03,235.28022716776337,238.7501357160527,234.4127702908012,0.0,SPY
2018-03-04,235.28022716776337,238.7501357160527,234.4127702908012,0.0,SPY
2018-03-05,236.98857837319935,241.55609744877376,236.8823343834178,97307400.0,SPY
2018-03-06,241.91895478763198,241.99864451961363,240.04238316007158,79213200.0,SPY
2018-03-07,239.3697946101281,241.81286698986435,239.17505441192247,87063500.0,SPY
2018-03-08,242.14028766954476,242.75106228884854,241.14005981333247,66901200.0,SPY
2018-03-09,244.04345910683665,246.84945678710938,243.72478114474626,113625300.0,SPY
2018-03-10,244.04345910683665,246.84945678710938,243.72478114474626,0.0,SPY
2018-03-11,244.04345910683665,246.84945678710938,243.72478114474626,0.0,SPY
